stop_id,stop_lat,stop_lon,stop_desc
511019,3.3828347381,-76.5203945129,Cl 42 entre Kr 84 y 85
511272,3.388021544,-76.5201025781,Cl 42 con Kr 80
511273,3.385227373,-76.520342821,Cl 42 entre Kr 81 y 84
511274,3.383907664,-76.521738,Kr 83C entre Cl 38 y 34
511275,3.3845665408,-76.5243178088,Cl 25 entre Kr 83C y 83
511298,3.3823478574,-76.5243540558,Cl 25 entre Kr 85 y 83C
511485,3.3836996643,-76.522372,Kr 83C entre Cl 30 y 34
511243,3.3870601692,-76.536210838,Kr 80 entre Cl 13A1 y 13B
511580,3.3854026595,-76.5383690003,Cl 13 entre Kr 81 y 80
511015,3.3860348608,-76.5294551,Kr 83 entre Cl 16 y 14 P1
511017,3.3856935608,-76.5316041001,Kr 83 entre Cl 16 y 14 P2
511104,3.3843770605,-76.5333586372,Cl 14 entre Kr 83 y 84
511105,3.3824165293,-76.5332799381,Cl 14 entre Kr 85A y 85B
511276,3.3844862541,-76.5250771329,Cl 25 entre Kr 83A y 83B
511278,3.3800713175,-76.525352624,Cl 25 entre Kr 85C y 86
511348,3.3831156622,-76.5380540003,Cl 13 entre Kr 83 y 81
511421,3.3805019323,-76.5274568525,Kr 85C entre Cl 18 y 17
511422,3.3814465325,-76.528665162,Cl 16 entre Kr 85B y 85A
511423,3.3843040864,-76.5284848973,Cl 16 entre Kr 83C y 83B
511425,3.3842792911,-76.5287607012,Cl 16 entre Kr 83B y 83C
511426,3.3820212054,-76.5288999354,Cl 16 entre Kr 85 y 85A
511022,3.3656976896,-76.521733,Cl 34 con Kr 100
511023,3.3645706914,-76.521587,Cl 34 entre Kr 100 y 102
511033,3.369006825,-76.5246569314,Cl 25 entre Kr 99 y 98B
511034,3.3673286869,-76.523662,Kr 99 entre Cl 25 y 34
511100,3.3684734351,-76.5199540447,Kr 99 entre Cl 45 y 42
511107,3.368197031,-76.5196903111,Kr 99 entre Cl 42 y 45
511222,3.3702167701,-76.5246505848,Cl 25 entre Kr 98B y 98
511223,3.3687923961,-76.5205621005,Cl 42 entre Kr 99 y 98A
511224,3.3655719185,-76.5188467985,Cl 45 entre Kr 103 y 102
511225,3.3672837902,-76.5188467506,Cl 45 entre Kr 100 y 99
511226,3.3676258032,-76.5234714701,Kr 99 entre Cl 34 y 25
511228,3.3771232272,-76.5161513615,Cl 48 entre Kr 92 y 90
511230,3.3770875597,-76.5166044504,Cl 48 entre Kr 90 y 92
511277,3.3785779647,-76.5244333279,Cl 25 entre Kr 90 y 86
511283,3.3748556757,-76.524516,Cl 25 entre Kr 96 y 94
511318,3.3715768678,-76.5209190227,Cl 42 entre Kr 96 y 98
511319,3.3718870164,-76.5202380496,Cl 42 entre Kr 97A y 97
511320,3.3743708202,-76.5208399659,Cl 42 entre Kr 94A y 95
511321,3.3743065139,-76.5201707134,Cl 42 entre Kr 95 y 94A
511322,3.3767975386,-76.5207692328,Cl 42 entre Kr 91 y 92
511323,3.3767429578,-76.5201016675,Cl 42 entre Kr 92 y 91
511329,3.3698527841,-76.5209683762,Cl 42 entre Kr 98 y 98B
511403,3.3647020942,-76.5199006768,Kr 102 entre Cl 42 y 45
511404,3.3676557364,-76.5166315815,Cl 48 entre Kr 99 y 100
511407,3.3684720059,-76.5147264677,Kr 99 entre Cl 50 y 48
511408,3.3684722225,-76.5185627325,Kr 99 con Cl 45
511416,3.3742720099,-76.5166212147,Cl 48 entre Kr 94 y 95
511417,3.3723932258,-76.516622176,Cl 48 entre Kr 96 y 97
511427,3.3791515106,-76.5236243799,Kr 86 entre Cl 25 y 28
511428,3.3790536102,-76.5210458187,Kr 86 entre Cl 34 y 42
